;locations;Log_lat
0;Home;53.349805, -6.26031
1;;
2;Work;53.349805, -6.26031
3;Place in Grattan Lodge;53.401313, -6.166292
4;Verbena Avenue;53.389244, -6.146647
5;Dublin City University (DCU);53.385100, -6.256615
6;Science Gallery Café;53.344264, -6.250179
7;The Helix;53.386547, -6.258775
8;DCU School of Nursing;53.386057, -6.254740
9;Thunder Road Café;53.345778, -6.261113
10;The Westin;53.345825, -6.258249
11;Brown Thomas;53.342513, -6.259910
12;Place in Saint Anne's Park;53.371269, -6.179852
13;Place in Rose Garden;53.353438, -6.300275
14;Costa Coffee;53.343643, -6.248991
15;Starbucks;53.350775, -6.239378
16;Dunnes Stores;53.340639, -6.260792
17;Dublin Airport (DUB) - Aerfort Bhaile Átha Cliath;53.426454, -6.250285
18;Bayside;53.387376, -6.143131
19;Lidl;53.357538, -6.221120
20;Place in Taney Civil Parish;53.291669, -6.237823
21;O'Brien Centre for Science;53.308306, -6.223424
22;Howth Junction Business Centre;53.390910, -6.153724
23;Place in Dublin City University;53.385056, -6.256948
24;Hilan Korean & Chinese Restaurant;53.348651, -6.267988
25;Place in Dublin 9;53.337347, -6.253736
26;Place in Balgriffin;53.409397, -6.170420
27;Dublin Airport T2 Car Park;53.428519, -6.240129
28;Place in Dardistown;53.412457, -6.237136
29;Place in Greater Manchester;53.481562, -2.250377
30;Car Rental Village;53.365687, -2.262970
31;McDonald's;53.380190, -2.260604
32;Sheffield University - Portobello Centre;53.381122, -1.481755
33;Novotel;53.476944, -2.241356
34;Sheffield Tap;53.378805, -1.462394
35;Café Rouge;53.379364, -1.469254
36;The Antiques Emporium;54.335482, -2.746799
37;Kinder Lodge;53.378422, -1.946675
38;Devonshire Arms;53.392822, -2.025521
39;Waterstones;53.481718, -2.247106
40;Manchester International Airport (MAN);53.358803, -2.272805
41;Web Summit HQ;53.309277, -6.259983
42;Pavilions Shopping Centre;53.454299, -6.218796
43;Waterside;53.451859, -6.198626
44;Eddie Rocket's;53.333084, -6.243449
45;Homebase;53.328449, -6.341741
46;Place in Dublin 15;53.378111, -6.326886
47;Power City;53.388037, -6.298631
48;Rathdown Park;53.305623, -6.288385
49;Place in St. Mary's Enniscorthy;52.497738, -6.571991
50;Caim Church;52.511733, -6.673646
51;The Sisters Home;53.426442, -6.249302
52;Gate 212;53.426442, -6.249302
53;London City Airport (LCY);51.504897, 0.049293
54;Place in London City Airport;51.504897, 0.049293
55;Tenter Street Apartment;51.513161, -0.071069
56;Place in Butler's Wharf;51.503933, -0.074281
57;Grange Tower Bridge Hotel;51.511605, -0.071916
58;Place in Northside Shopping Centre;53.395951, -6.213138
59;Gate 303;53.426442, -6.249302
60;Place in Frankfurt am Main;50.118232, 8.674961
61;Frankfurt Airport (FRA);50.037939, 8.561926
62;Gate Z66;31.144445, 121.808337
63;Place in ?? Shanghai;31.374353, 121.497520
64;Modern Universe Business Plaza;31.217113, 121.417470
65;DCU Sports Complex;53.384710, -6.259239
66;Place in Prospect Square;53.369235, -6.271626
67;Place in Dublin 7;53.361526, -6.291717
68;Bust Stop No 44;53.289996, -6.266278
69;Tesco;53.289438, -6.267577
70;Place in Dublin 1;53.353906, -6.254527
71;DCU School of Computing;53.385056, -6.256820
72;DCU Restaurant;53.384979, -6.255500
73;Chilli Banana;53.372351, -6.252368
74;Hampstead Park;53.379404, -6.263569
75;Place in Temple Bar;53.345771, -6.262841
76;Ulster Bank;53.344138, -6.260594
77;The Hub;53.385210, -6.258556
78;Dublin Airport (DUB);53.426442, -6.250382
79;Place in ??? / Chaoyang;39.916627, 116.455496
80;Place in ??? (Beijing);39.916627, 116.455496
81;Place in ??;39.916627, 116.455496
82;Place in ??? (Yong He Gong Lama Temple);39.947647, 116.417548
83;Place in ????;39.916627, 116.455496
84;Place in ?????;39.916627, 116.455496
85;Starbucks ???;39.916627, 116.455496
86;??? McDonald's;39.916627, 116.455496
87;Sosiaali - ja terveystoimi;60.181585, 24.947012
88;Kauppatori;60.167655, 24.954010
89;K-supermarket;60.171272, 24.948514
90;Pysäkki 828;60.402096, 25.027550
91;Ravintola Tower;67.604396, 24.153497
92;Tiia koti;60.169871, 24.938477
93;Place in Aviapoliksen suuralue;60.169871, 24.938477
94;Place in APN 1;60.169871, 24.938477
95;Helsinki railway station;60.169871, 24.938477
96;Place in Kluuvi;60.168964, 24.947525
97;Pub Varpu;60.169871, 24.938477
98;Place in Ullanlinna;60.160419, 24.950412
99;Mulhuddart Community Centre;53.405148, -6.393948
100;Razor's Barber Shop;53.486829, -6.149580
101;Blanchardstown / Baile Bhlainséir;53.385268, -6.375847
102;Tesco Express;53.382688, -6.381512
103;Under Ildl;
104;Busáras;53.349889, -6.252032
105;Athlone Town Centre;53.424029, -7.936322
106;Moate;53.395043, -7.718630
107;Place in Dublin 11;53.389807, -6.292911
108;Place in Rotunda Maternity Hospital;53.353098, -6.263189
109;Woolshed Baa & Grill;53.350362, -6.266863
110;Reed Specialist Recruitment;53.341763, -6.259721
111;Dublin Bus;53.343988, -6.268996
112;Citizens Information;53.345839, -6.252680
113;40D Bus Stop;53.290025, -6.266488
114;Dublin Bus Stop No. 4522;53.290025, -6.266488
115;Citywest Shopping Centre;53.282509, -6.422597
116;Uniphar;53.293132, -6.415556
117;Terminal 1;53.422521, -6.239523
118;Butchery;53.350213, -6.258076
119;Finglas Leisure Centre;53.390208, -6.304685
120;Bus Stop 1624;53.389867, -6.306590
